id	val
71	-1
1024	1
6655	-1
8321	0
27022	1
2066	1
5921	-1
18094	-1
6790	1
2073	-1
10608	-1
5962	-1
5597	1
3845	1
9625	-1
83871	-1
4602	0
2781	-1
54331	1
5862	-1
1278	-1
5134	-1
9046	1
120	-1
6494	0
5931	-1
6387	-1
7976	-1
5894	-1
6480	1
6696	1
7042	-1
3002	1
1852	-1
310	-1
4147	-1
23741	-1
26471	1
1508	0
10755	1
10370	1
900	0
50855	1
22931	-1
6876	-1
2794	1
5230	1
5451	-1
5912	1
8535	-1
23542	-1
5885	0
7465	-1
7057	-1
	0
2113	1
2077	0
842	1
2065	-1
4784	0
5928	-1
4214	-1
4851	0
5328	1
8091	-1
1386	1
	1
17703	1
207	1
2305	1
1289	-1
9475	-1
4174	1
18089	1
9367	0
1958	-1
3066	-1
60	1
7532	-1
898	0
54205	-1
6710	-1
5154	-1
596	1
81	1
1630	1
80824	-1
10048	0
10983	1
4193	1
8829	-1
81858	1
1026	1
53916	1
2048	1
3213	1
389	-1
1523	1
3688	1
10912	1
4010	0
5460	-1
1281	-1
1290	1
6777	0
398	0
1287	-1
51552	-1
2335	-1
1054	0
58480	-1
3655	-1
2619	-1
9138	1
8326	1
3484	-1
5905	1
4478	0
9353	-1
65018	-1
204851	-1
401207	-1
1604	-1
10957	-1
5349	-1
94241	-1
2771	1
80315	-1
10908	-1
694	-1
57552	-1
6304	-1
22718	1
12984	-1
6519	-1
1316	1
383	-1
51366	-1
114131	-1
8473	-1
26959	-1
538	-1
664	-1
7414	-1
6303	1
9191	-1
901	-1
83463	0
2099	-1
5229	0
2892	1
352945	-1
9134	-1
3815	0
4601	0
367	1
8837	1
8408	-1
427	-1
2888	1
3158	0
6938	-1
2969	-1
5166	0
56521	-1
5641	-1
23002	1
5934	-1
7091	-1
5106	-1
375035	1
4084	-1
55802	-1
8743	-1
6648	-1
27244	-1
1027	-1
2308	-1
4089	-1
4846	1
283209	-1
1380	0
4771	-1
3248	-1
150274	-1
790	1
1510	-1
665	-1
2131	-1
10396	-1
	-1
1634	-1
271	0
114907	-1
9236	-1
356	-1
81552	0
255394	-1
1831	1
81542	-1
140885	-1
483	1
340260	-1
28511	-1
8493	-1
25816	-1
114883	1
113263	-1
23039	-1
847	-1
23411	-1
1019	1
6403	-1
84676	-1
4953	1
9990	-1
868	-1
1647	-1
3716	-1
6414	1
11067	0
1374	-1
3985	-1
667	1
2879	1
2737	0
10402	-1
9787	0
7324	1
6517	1
5498	1
29979	1
2995	1
23097	1
84649	1
11247	1
13829	1
3163	1
2532	1
68924	1
152007	1
3386	1
8694	1
283578	-1
3792	1
7286	-1
212	1
5313	-1
3437	1
961	1
116138	-1
73093	1
11065	1
10422	1
7037	-1
6399	-1
7094	1
3669	1
55363	-1
64122	1
1371	1
51327	1
9278	1
862	1
14934	1
143241	-1
74778	0
7536	1
3866	1
26047	1
71051	1
1907	1
2023	1
5091	1
190	1
15129	1
29883	0
73176	-1
15135	1
6520	0
80318	-1
4778	1
50801	1
15132	0
11156	-1
15126	1
10693	1
55165	1
9911	1
6695	1
6513	-1
27443	1
23353	1
309	-1
759	-1
8501	1
27429	1
645	0
140809	0
55210	0
5916	1
80206	0
29984	1
12509	0
75443	1
91768	1
79345	1
7390	1
13863	-1
244	1
3562	1
83860	0
4792	1
78074	1
9636	-1
687	1
5649	-1
775	1
10592	1
6708	1
8819	0
5607	1
114625	1
100504166	1
85413	1
3956	0
64092	1
286827	1
51633	-1
1943	1
1500	1
3783	0
338440	1
75080	1
64098	0
1718	1
5223	1
4259	0
100133941	1
2177	-1
6622	-1
706	1
51341	1
3145	1
23645	1
124540	-1
2149	-1
13137	1
2235	1
51274	1
55500	1
80004	-1
408	0
94	0
9788	1
7001	1
7389	0
7071	1
3043	1
7188	-1
55845	1
5914	0
128387	-1
6583	1
4005	1
8924	1
22767	1
64221	1
211	0
11279	1
2766	1
6007	1
51313	-1
308	0
