entrez	fc	pval
5744	-5.509714502	4.47E-06
4312	-4.776626067	1.27E-05
5997	2.818626477	0.000177388
7062	-2.720567037	0.000190925
7704	2.662804158	0.000190925
7431	-5.151852233	0.000190925
7169	-2.395924895	0.000190925
4953	-2.90683691	0.000190925
6279	-2.736726486	0.000203057
5744	-2.516965026	0.000221615
6624	-2.314285797	0.00022222
6876	-2.381566261	0.00022222
4071	-2.797393322	0.00022222
687	2.157942112	0.000234401
4953	-2.831821429	0.000234401
4318	-3.049465074	0.000236879
8519	-2.282535216	0.000272412
3956	-2.97964843	0.000294362
50486	-2.729692733	0.000373539
6236	2.463891427	0.000438638
3371	-3.032286592	0.000544598
6772	-2.089322597	0.000544598
7447	-1.811749286	0.000682136
1831	2.69823939	0.000682136
182	-1.928909451	0.000682136
5328	-2.0501991	0.001054451
9246	-1.699863323	0.001136694
7168	-1.95021091	0.001136694
302	-2.103517807	0.001144434
22891	-2.429324224	0.001144434
5217	-1.951645972	0.001213864
6772	-2.039331129	0.001226588
5217	-1.904570342	0.001398375
3248	1.987860713	0.001818382
9830	-1.966070025	0.001855921
3918	-1.916230921	0.001885774
3772	-1.850891147	0.001915492
65108	-1.513241933	0.001915492
794	-1.84238693	0.001915492
3434	-3.001917593	0.001915492
4071	-2.270837507	0.001930158
NA	-1.461893432	0.001930158
NA	2.166374542	0.001930158
558	-1.789912631	0.002042088
25878	-1.634106032	0.002042088
1382	-1.730011002	0.002048704
87	-1.734390995	0.002048704
3918	-1.926195354	0.002048704
6236	2.342737434	0.002048704
11098	-1.786309017	0.002048704
4175	-1.652667149	0.002123391
2752	2.34772448	0.002171489
7051	1.710367895	0.002171489
9982	-1.661643956	0.002171489
3134	-1.585826095	0.002171489
6273	-1.885105903	0.002171489
7168	-1.841321466	0.002286559
4919	1.371468329	0.002392096
4683	-1.426969738	0.002392096
4319	-2.267588738	0.002530671
2520	1.362637819	0.002603624
113	-1.491571855	0.002682732
2014	-1.773290899	0.002862391
4939	-2.007105718	0.003102253
NA	-1.433596368	0.00316098
1848	-1.566539416	0.003169385
5652	1.928661912	0.003197976
558	-1.437435756	0.003267169
6288	2.069867547	0.003267169
9314	1.438164747	0.003502346
10410	-1.347644982	0.003502346
3434	-3.087070985	0.003502346
7844	1.422273186	0.003687484
1001	-1.370720178	0.003687484
5947	-1.271906275	0.003687484
1052	1.461841771	0.003687484
6280	-2.190892706	0.003687484
6338	1.571769742	0.003687484
87	-1.617350698	0.003687484
8900	-2.07083214	0.003687484
3959	-1.302465097	0.0037495
27074	-1.429121461	0.0037495
27316	-1.291849225	0.0037495
8507	-1.415388635	0.003993934
2316	-1.378278653	0.003993934
9636	-2.701017736	0.004028103
2191	-1.745678735	0.004239367
NA	-1.301829169	0.004557358
1612	1.268633411	0.004557358
834	-1.296527312	0.004557358
8870	-1.742135301	0.004620887
837	-1.572017992	0.004900807
6594	-1.198787626	0.004911963
4638	-1.365970231	0.005215357
5270	-1.687440113	0.005215357
5721	-1.295421877	0.005215357
347902	-1.274624952	0.005690122
6273	-1.813223914	0.005916252
10346	-1.339274585	0.005916252
3248	1.993670207	0.005933457
1050	1.202947908	0.005998554
6947	-1.528441317	0.006150031
203068	-1.117886967	0.00635396
338	1.382975053	0.00645972
4430	-1.132859308	0.00645972
7298	-1.231637502	0.006463784
22837	1.125980605	0.006532782
2597	-1.100613929	0.006584179
7296	1.32271397	0.006657186
573	1.122305575	0.006657186
338	1.468042641	0.006657186
8727	-1.127568576	0.00678637
3151	-1.281543038	0.006821747
9635	-1.933192081	0.006821747
4277	-1.63859477	0.006821747
10468	-1.377643449	0.006821747
NA	-3.004781794	0.006821747
3291	2.215778998	0.006821747
10561	-2.138874577	0.006821747
11130	-1.135742253	0.006821747
5359	-1.525706934	0.006944342
650	1.527964168	0.006944342
