entrez	p_val	log2_fc
10152	0	-0.229059348
26225	0	-0.202829268
55870	0	-0.464331206
546	0	-0.35262654
8313	0	2.690091642
55612	0	-0.432071053
55612	0	-0.294482065
9875	0	-0.410756169
25957	0	-0.486169718
9749	0	-0.305175065
23196	0	-0.32850009
11335	0	-0.413995288
51003	0	-0.481527304
1305	0	-0.704770691
1296	0	-0.153438487
1462	0	-0.6553919
9126	0	-0.444735511
1591	0	1.863383857
170506	0	-0.244773985
1778	0	-0.55313823
1847	0	-0.507816596
1997	0	-0.513913806
2058	0	-0.491691028
80204	0	-0.259946306
55785	0	-0.505588486
55205	0	-0.340360356
80205	0	-0.455324707
80139	0	1.483283865
79768	0	-0.488357896
94234	0	0.599589166
10772	0	-0.306955146
55970	0	-0.738067272
28996	0	-0.342396577
28996	0	-0.304923748
3552	0	-0.684123122
23185	0	-0.19298477
23351	0	-0.240433366
23023	0	-0.485731268
23045	0	-0.614924641
23253	0	-0.475731673
23030	0	-0.314484988
23254	0	-0.222799559
23325	0	-0.467916484
57219	0	-0.156252472
26524	0	-0.286663144
987	0	-0.291581421
7798	0	-0.329832233
79109	0	-0.13891647
79101	0	-0.627691967
8202	0	-0.412558195
4750	0	-0.281587956
25805	0	0.612264731
2908	0	-0.410276775
4898	0	-0.148762275
5187	0	-0.426092318
5286	0	-0.519197199
5325	0	-0.428517342
5325	0	-0.589969396
59338	0	-0.474893306
5744	0	-0.826296883
9444	0	-0.290753484
157869	0	0.675259517
6157	0	0.778878874
6205	0	1.604897789
6223	0	1.260370777
79048	0	-0.337562958
6322	0	-0.360308471
9147	0	-0.206768305
140890	0	-0.212835036
9169	0	-0.273006652
6431	0	-0.843561961
