entrez	p_val	log2_fc
89845	0	-0.537051446
47	0	-0.767466943
164	0	-0.636633773
25820	0	-0.148089086
55870	0	-0.60039794
55612	0	-0.463722256
834	0	-0.291030587
157680	0	-0.611014789
1296	0	-0.127990806
1479	0	-0.758596656
8853	0	-0.390345255
115817	0	-0.144148999
9988	0	-0.257602223
131566	0	-0.604395332
79813	0	-0.584596103
2135	0	-0.362413865
55120	0	-0.716621044
64848	0	-0.548507697
10634	0	-0.519557008
23150	0	-0.820022777
10808	0	-0.834400585
3667	0	-0.880789926
3667	0	-1.171261195
23023	0	-0.44917418
23030	0	-0.070434701
57493	0	-0.998656034
9388	0	-0.867070505
4012	0	-0.726911462
125476	0	-0.73048803
4047	0	-0.623236206
4140	0	-0.296287968
326625	0	0.330842896
64968	0	-0.459089921
23645	0	1.169074523
144165	0	-0.424000374
150696	0	-0.786128932
5744	0	-0.805804498
5744	0	-0.60338015
5896	0	1.345699531
6157	0	1.091251641
6181	0	1.622516219
6205	0	2.133372491
6223	0	1.683471444
6241	0	-0.463768018
26278	0	-0.472895625
79048	0	-0.320597822
5055	0	-0.81282009
6558	0	-0.28069037
6653	0	-0.717700171
6714	0	4.718262429
6714	0	2.412234959
6744	0	-0.539970443
10299	0	-0.622098877
7072	0	-0.571881198
23671	0	2.060563133
7128	0	-0.848471054
8295	0	0.310350592
23270	0	-0.660538758
51711	0	-0.685591172
51711	0	-0.355451483
27107	0	-0.458429654
--	0	1.090665123
--	0	-0.084064611
--	0	-0.240365194
--	0	-0.479250903
--	0	-0.631589227
--	0	-1.35184752
--	0	-0.785571763
--	0	-0.611900858
--	0	-0.907180967
--	0	-0.758213499
--	0	-0.757493829
--	0	-0.501775689
