uid	srcuid	trguid	srcname	srctype	trgname	trgtype	trgval	type	pmids	nls
12833	20228	17369	DYSF	Protein	IL6	mRNA	0	1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
 1310	20228	 7836	DYSF	Protein	CD55	mRNA	-1	-1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
13907	20228	 1706	DYSF	Protein	RAB2A	mRNA	-1	-1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
15036	20228	  136	DYSF	Protein	SERPINB1	mRNA	0	1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
16790	20228	20225	DYSF	Protein	Lyz1	mRNA	0	1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
16846	20228	 5958	DYSF	Protein	POSTN	mRNA	0	1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
16947	20228	19193	DYSF	Protein	MT2A	mRNA	0	1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
18067	20228	16946	DYSF	Protein	H2-Eb1	mRNA	0	1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
19706	20228	16486	DYSF	Protein	SPP1	mRNA	1	1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
22909	20228	17263	DYSF	Protein	CD68	mRNA	0	1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
