uid	regulation	name	id	type	prob	correct	incorrect	zero	score
10024	-1	DYSF	8291	Protein	1.19405e-309	2	5	48	-3
10024	0	DYSF	8291	Protein	1	0	0	0	0
10024	1	DYSF	8291	Protein	1.32985e-309	5	2	48	3
10066	-1	RXR Family		Protein	1.19426e-309	0	1	2	-1
10066	0	RXR Family		Protein	1	0	0	0	0
10066	1	RXR Family		Protein	1.33007e-309	1	0	2	1
10151	-1	paclitaxel		Compound	1.19447e-309	2	0	3	2
10151	0	paclitaxel		Compound	1	0	0	0	0
10151	1	paclitaxel		Compound	1.33028e-309	0	2	3	-2
10177	-1	SFTPA1	653509	Protein	1	0	1	8	-1
10177	0	SFTPA1	653509	Protein	1.26259e-309	0	0	0	0
10177	1	SFTPA1	653509	Protein	1.33049e-309	1	0	8	1
10185	-1	glucocorticoid	24261	Compound	1	7	6	30	1
10185	0	glucocorticoid	24261	Compound	1.2628e-309	0	0	0	0
10185	1	glucocorticoid	24261	Compound	1.3307e-309	6	7	30	-1
10199	-1	S100A6	6277	Protein	1.19511e-309	0	2	3	-2
10199	0	S100A6	6277	Protein	1	0	0	0	0
10199	1	S100A6	6277	Protein	1.33092e-309	2	0	3	2
10235	-1	zebularine	46938	Compound	1.19532e-309	1	0	0	1
10235	0	zebularine	46938	Compound	1.26322e-309	0	0	0	0
10235	1	zebularine	46938	Compound	1	0	1	0	-1
10282	-1	Adrb Family		Protein	1.19553e-309	1	1	9	0
10282	0	Adrb Family		Protein	1	0	0	0	0
10282	1	Adrb Family		Protein	1.33134e-309	1	1	9	0
10310	-1	INS	3630	Protein	1.19574e-309	0	1	22	-1
10310	0	INS	3630	Protein	1	0	0	0	0
10310	1	INS	3630	Protein	1.33155e-309	1	0	22	1
1035	-1	LOC680208	680208	Protein	1.15903e-309	1	1	0	0
1035	0	LOC680208	680208	Protein	1	0	0	0	0
1035	1	LOC680208	680208	Protein	1.29484e-309	1	1	0	0
10382	-1	S1PR1	1901	Protein	1.19596e-309	1	0	1	1
10382	0	S1PR1	1901	Protein	1	0	0	0	0
10382	1	S1PR1	1901	Protein	1.33176e-309	0	1	1	-1
10427	-1	hyaluronic acid	16336	Compound	1.19617e-309	1	2	31	-1
10427	0	hyaluronic acid	16336	Compound	1	0	0	0	0
10427	1	hyaluronic acid	16336	Compound	1.33198e-309	2	1	31	1
10447	-1	MEF2C	4208	Protein	1.19638e-309	1	1	32	0
10447	0	MEF2C	4208	Protein	1	0	0	0	0
10447	1	MEF2C	4208	Protein	1.33219e-309	1	1	32	0
10522	-1	Interferon		Compound	1.19659e-309	1	0	2	1
10522	0	Interferon		Compound	1.2645e-309	0	0	0	0
10522	1	Interferon		Compound	1	0	1	2	-1
10558	-1	polyunsaturated fatty acid	26208	Compound	1.19681e-309	0	1	2	-1
10558	0	polyunsaturated fatty acid	26208	Compound	1	0	0	0	0
10558	1	polyunsaturated fatty acid	26208	Compound	1.33261e-309	1	0	2	1
1057	-1	serum insulin		Compound	1.15925e-309	4	10	134	-6
1057	0	serum insulin		Compound	1	0	0	0	0
1057	1	serum insulin		Compound	1.29505e-309	10	4	134	6
10652	-1	Iloprost		Compound	1.19702e-309	5	6	5	-1
10652	0	Iloprost		Compound	1	0	0	0	0
10652	1	Iloprost		Compound	1.33283e-309	6	5	5	1
10769	-1	bexarotene	50859	Compound	1.19723e-309	0	1	5	-1
10769	0	bexarotene	50859	Compound	1	0	0	0	0
10769	1	bexarotene	50859	Compound	1.33304e-309	1	0	5	1
10792	-1	cholesterol	16113	Compound	1.19744e-309	0	4	15	-4
10792	0	cholesterol	16113	Compound	1	0	0	0	0
10792	1	cholesterol	16113	Compound	1.33325e-309	4	0	15	4
10822	-1	Tretinoin		Compound	1.19765e-309	8	2	63	6
10822	0	Tretinoin		Compound	1	0	0	0	0
10822	1	Tretinoin		Compound	1.33346e-309	2	8	63	-6
10831	-1	gemcitabine	175901	Compound	1.19787e-309	2	0	25	2
10831	0	gemcitabine	175901	Compound	1	0	0	0	0
10831	1	gemcitabine	175901	Compound	1.33367e-309	0	2	25	-2
1086	-1	FOXD3	27022	Protein	1.15946e-309	0	1	4	-1
1086	0	FOXD3	27022	Protein	1	0	0	0	0
1086	1	FOXD3	27022	Protein	1.29527e-309	1	0	4	1
10887	-1	NOTCH Family		Protein	1.19808e-309	0	1	13	-1
10887	0	NOTCH Family		Protein	1	0	0	0	0
10887	1	NOTCH Family		Protein	1.33389e-309	1	0	13	1
10944	-1	GATA6	2627	Protein	1.19829e-309	2	0	6	2
10944	0	GATA6	2627	Protein	1	0	0	0	0
10944	1	GATA6	2627	Protein	1.3341e-309	0	2	6	-2
10962	-1	OSR1	130497	Protein	1.1985e-309	1	0	0	1
