uid	name	id	type	prob_down	prob_zero	prob_up	ITE	regulation	correct	incorrect	zero	score	MeSH
10177	SFTPA1	653509	Protein	1	1.26259e-309	1.33049e-309	iter1	-1	0	1	8	-1	Membrane Glycoproteins, Protein Binding, Recombinant Fusion Proteins, nonzeroMeSH, Phosphatidylinositol 3-Kinases, Sequence Alignment, Transgenic, Inbred BALB C, 
10185	glucocorticoid	24261	Compound	1	1.2628e-309	1.3307e-309	iter1	-1	7	6	30	1	nonzeroMeSH, Muscular Atrophy/metabolism, Muscular Atrophy/pathology, Protein Binding, Signal Transduction/physiology, Prostatic Neoplasms, Recombinant Fusion Proteins, Sialoglycoproteins, Cell Differentiation/physiology, Prostatic Neoplasms/metabolism, 3T3 Cells, Cyclic AMP Response Element-Binding Protein/metabolism, Rheumatoid/metabolism, Fas Ligand Protein, Membrane Glycoproteins, Ligands, Circular Dichroism, Chromatin/metabolism, Cyclin-Dependent Kinase Inhibitor p21/genetics, Antirheumatic Agents/therapeutic use, Cyclic AMP Response Element-Binding Protein, Recombinant Fusion Proteins/genetics, Binding Sites, Recombinant Fusion Proteins/metabolism, Repressor Proteins, Rheumatoid/therapy, Ultraviolet Rays, Cyclin-Dependent Kinase Inhibitor p21, Phosphatidylinositol 3-Kinases, Chromatin, Phenotype, Sequence Alignment, Phosphatidylinositol 3-Kinases/metabolism, Hemoglobins, Hemoglobins/metabolism, Transgenic, 
10235	zebularine	46938	Compound	1.19532e-309	1.26322e-309	1	iter1	1	0	1	0	-1	nonzeroMeSH, 
10522	Interferon		Compound	1.19659e-309	1.2645e-309	1	iter1	1	0	1	2	-1	Cyclin-Dependent Kinase Inhibitor p21, Ubiquitins/analogs & derivatives, Ethylmaleimide, Inbred BALB C, nonzeroMeSH, Ethylmaleimide/pharmacology, 
1117	HRAS	3265	Protein	1.15967e-309	1.22757e-309	1	iter1	1	82	18	19	64	p53, Squamous Cell/genetics, Papilloma/chemically induced, cdc42 GTP-Binding Protein/metabolism, Squamous Cell/chemically induced, Skin Neoplasms, Skin Neoplasms/chemically induced, Papilloma, 3T3 Cells, Carcinogens, Inbred BALB C, ras Proteins/metabolism, Squamous Cell, Germ-Line Mutation, Papilloma/genetics, Carcinoma, rac1 GTP-Binding Protein/metabolism, nonzeroMeSH, ras Proteins, Transgenic, Skin Neoplasms/genetics, rhoA GTP-Binding Protein, Cocarcinogenesis, Benzo(a)pyrene, ras/genetics, p53/genetics, rhoA GTP-Binding Protein/metabolism, ras, cdc42 GTP-Binding Protein, rac1 GTP-Binding Protein, ras Proteins/genetics, Cyclin-Dependent Kinase Inhibitor p21, Ligands, ral Guanine Nucleotide Exchange Factor, ral Guanine Nucleotide Exchange Factor/metabolism, Urokinase-Type Plasminogen Activator/metabolism, 
11185	CD437		Compound	1.19893e-309	1.26683e-309	1	iter1	1	2	6	9	-4	Carcinoma, Transcription Factors/biosynthesis, nonzeroMeSH, DNA-Binding Proteins/biosynthesis, Repressor Proteins, Repressor Proteins/metabolism, Repressor Proteins/genetics, 
11217	ETS Family		Protein	1.19914e-309	1.26704e-309	1	iter1	1	1	0	3	1	Repressor Proteins, cdc42 GTP-Binding Protein, ras Proteins, Lasers, Protein Kinases/biosynthesis, cdc42 GTP-Binding Protein/metabolism, ras Proteins/metabolism, Binding Sites, Protein Binding, Trans-Activators/genetics, Repressor Proteins/metabolism, nonzeroMeSH, 3T3 Cells, 
12217	cisplatin	27899	Compound	1	1.27023e-309	1.33813e-309	iter1	-1	3	1	49	2	p53, Luminescent Proteins/genetics, nonzeroMeSH, Carcinoma, Cyclic AMP Response Element-Binding Protein, Chromatin Immunoprecipitation, Cyclic AMP Response Element-Binding Protein/metabolism, Ligands, 
12773	MLXIPL	51085	Protein	1.20423e-309	1.27214e-309	1	iter1	1	0	1	2	-1	Transgenic, Binding Sites, Chromatin Immunoprecipitation, nonzeroMeSH, Adenoviridae/genetics, 
12808	Prka Family		Protein	1	1.27235e-309	1.34025e-309	iter1	-1	0	1	10	-1	Chromatin Immunoprecipitation, Protein Binding, Signal Transduction/physiology, Cell Differentiation/physiology, Binding Sites, Cyclic AMP Response Element-Binding Protein, Inbred BALB C, Cyclic AMP Response Element-Binding Protein/metabolism, 3T3 Cells, Repressor Proteins/genetics, Repressor Proteins, nonzeroMeSH, Repressor Proteins/metabolism, DNA-Binding Proteins/biosynthesis, 
13020	PLAGL2	5326	Protein	1.20508e-309	1.27299e-309	1	iter1	1	0	1	3	-1	3T3 Cells, Cell Membrane/metabolism, Cell Membrane, nonzeroMeSH, 
1375	Norepinephrine		Compound	1.16073e-309	1.22864e-309	1	iter1	1	1	0	22	1	Signal Transduction/physiology, 3T3 Cells, Ultraviolet Rays, nonzeroMeSH, Tumor Necrosis Factor-alpha/metabolism, Fetus, Trans-Activators/genetics, Protein Binding, Cell Differentiation/physiology, DNA-Binding Proteins/biosynthesis, Phenotype, 
14399	BRD2	6046	Protein	1.20975e-309	1.27765e-309	1	iter1	1	0	1	0	-1	nonzeroMeSH, 
14507	GCM1	8521	Protein	1	1.27829e-309	1.34619e-309	iter1	-1	1	1	1	0	nonzeroMeSH, 
14762	NTF4	4909	Protein	1	1.27935e-309	1.34726e-309	iter1	-1	1	0	1	1	Phosphatidylinositol 3-Kinases/metabolism, Phosphatidylinositol 3-Kinases, nonzeroMeSH, 
14904	MAP2K Family		Protein	1	1.27999e-309	1.34789e-309	iter1	-1	0	3	13	-3	ras/genetics, ras Proteins/metabolism, ras Proteins, ras, Sialoglycoproteins/metabolism, Sialoglycoproteins, Osteopontin, Sialoglycoproteins/genetics, bcr-abl/physiology, nonzeroMeSH, Phosphatidylinositol 3-Kinases/metabolism, Phosphatidylinositol 3-Kinases, Ligands, 
16854	NOS3	4846	Protein	1.22057e-309	1.28848e-309	1	iter1	1	1	1	16	0	Mutant Strains, nonzeroMeSH, Signal Transduction/physiology, ras Proteins, Cyclin-Dependent Kinase Inhibitor p21, Tumor Necrosis Factor-alpha/metabolism, Proto-Oncogene Proteins c-raf/physiology, 
174	hydrogen peroxide	16240	Compound	1	1.22206e-309	1.28996e-309	iter1	-1	16	7	19	9	nonzeroMeSH, SKP Cullin F-Box Protein Ligases, Binding Sites, Polysaccharides/pharmacology, Prostatic Neoplasms/genetics, Sequence Alignment, Myocardial Ischemia/prevention & control, Protein Binding, Prostatic Neoplasms/metabolism, Cytoskeletal Proteins, Inbred BALB C, Prostatic Neoplasms, Atrial Natriuretic Factor/deficiency, Ultraviolet Rays, Chromatin Immunoprecipitation, Transcription Factors/biosynthesis, Myocardial Reperfusion Injury, Myocardial Ischemia/pathology, Repressor Proteins, Myocardial Reperfusion Injury/pathology, P-Selectin/biosynthesis, Atrial Natriuretic Factor/analysis, Antibody, Guanylate Cyclase/deficiency, Myocardial Reperfusion Injury/prevention & control, Repressor Proteins/metabolism, Evans Blue, Vascular/injuries, Recombinant Fusion Proteins/metabolism, Hemorheology, Point Mutation/genetics, Arteriosclerosis/enzymology, Neoplasm Proteins/metabolism, Active Transport, Kruppel-Like Transcription Factors/genetics, Substrate Specificity/drug effects, Recombinant Fusion Proteins, Adenoviridae/genetics, Recombinant Fusion Proteins/genetics, Kruppel-Like Transcription Factors, Kruppel-Like Transcription Factors/metabolism, 
1776	ZFP161	7541	Protein	1.16264e-309	1.23055e-309	1	iter1	1	0	1	0	-1	nonzeroMeSH, 
1841	androgen	50113	Compound	1.16285e-309	1.23076e-309	1	iter1	1	12	8	138	4	Osteopontin, Prostatic Neoplasms, Thrombospondin 1, Skeletal Muscle/ultrastructure, nonzeroMeSH, Prostatic Neoplasms/genetics, Testosterone/analogs & derivatives, Monoclonal/diagnostic use, Carcinogens, Skeletal Muscle, Blood Proteins, Blood Proteins/drug effects, Cyclin-Dependent Kinase Inhibitor p21, Thrombospondin 1/drug effects, Protein Binding, Inbred BALB C, Prostatic Neoplasms/metabolism, Satellite Cells, Sequence Alignment, Retinoblastoma-Like Protein p130, Skeletal Muscle/metabolism, STAT5 Transcription Factor, Phosphatidylinositol 3-Kinases, Phosphatidylinositol 3-Kinases/metabolism, Kruppel-Like Transcription Factors, Trans-Activators/genetics, Serine, Proto-Oncogene Proteins c-bcl-2/drug effects, Recombinant Fusion Proteins/genetics, Binding Sites, Serine/metabolism, Blood Proteins/genetics, Recombinant Fusion Proteins, Neoplasm Proteins/metabolism, DNA-Binding Proteins/chemistry, Cell Differentiation/physiology, Mutant Strains, Carcinoma, Neoplasm Metastasis, 
1863	BHLHE40	8553	Protein	1.16328e-309	1.23118e-309	1	iter1	1	4	1	43	3	Ligands, Transcription Factors/chemistry, Trans-Activators/genetics, Protein Binding, nonzeroMeSH, Binding Sites, Signal Transduction/physiology, Cell Differentiation/physiology, Repressor Proteins/genetics, Tumor Suppressor Proteins/genetics, Repressor Proteins, Tumor Suppressor Proteins/metabolism, Repressor Proteins/metabolism, 
1940	ARX	170302	Protein	1.16349e-309	1.23139e-309	1	iter1	1	1	1	41	0	Transgenic, Mutant Strains, nonzeroMeSH, 
2067	FOXD1	2297	Protein	1.16413e-309	1.23203e-309	1	iter1	1	1	0	4	1	Forkhead Transcription Factors, Phenotype, Protein Binding, 3T3 Cells, nonzeroMeSH, 
2340	NFE2L1	4779	Protein	1	1.23373e-309	1.30163e-309	iter1	-1	1	1	26	0	3T3 Cells, Trans-Activators/genetics, p53, Carcinogens, Repressor Proteins/metabolism, Binding Sites, Repressor Proteins/genetics, nonzeroMeSH, Tumor Necrosis Factor-alpha/metabolism, Recombinant Fusion Proteins, Recombinant Fusion Proteins/genetics, 5-Aminolevulinate Synthetase, Protein Binding, Recombinant Fusion Proteins/metabolism, Repressor Proteins, Inbred BALB C, 
3475	mifepristone	50692	Compound	1	1.23882e-309	1.30673e-309	iter1	-1	9	3	1	6	nonzeroMeSH, Kruppel-Like Transcription Factors, Repressor Proteins, Binding Sites, Repressor Proteins/metabolism, 
357	PBX2	5089	Protein	1.15521e-309	1.22312e-309	1	iter1	1	1	0	3	1	Protein Binding, nonzeroMeSH, Binding Sites, Luminescent Proteins/genetics, Neoplasm Proteins/metabolism, Collagen/genetics, Transgenic, 
4030	metformin	6801	Compound	1.17389e-309	1.24179e-309	1	iter1	1	0	3	4	-3	nonzeroMeSH, Membrane Glycoproteins, 
4263	trichostatin A	46024	Compound	1	1.24243e-309	1.31033e-309	iter1	-1	5	3	104	2	Repressor Proteins, Chromatin, Trans-Activators/genetics, Cyclin-Dependent Kinase Inhibitor p21, Chromatin Immunoprecipitation, Repressor Proteins/metabolism, nonzeroMeSH, Binding Sites, Repressor Proteins/genetics, Cytoskeletal Proteins, Carcinoma, Membrane Glycoproteins, Prostatic Neoplasms, Tumor Suppressor Proteins/genetics, Neoplasm Metastasis, Prostatic Neoplasms/genetics, Cell Differentiation/physiology, Neoplasm Proteins/metabolism, Signal Transduction/physiology, Vascular/injuries, Arteriosclerosis/enzymology, Recombinant Fusion Proteins/metabolism, Recombinant Fusion Proteins, Melanoma/pathology, Melanocytes/enzymology, Protein Binding, Hemorheology, 
468	ceramide	52639	Compound	1.15564e-309	1.22354e-309	1	iter1	1	0	2	89	-2	Cell Differentiation/physiology, nonzeroMeSH, DNA-Binding Proteins/biosynthesis, 3T3 Cells, Active Transport, Phosphatidylinositol 3-Kinases, Tumor Necrosis Factor-alpha/metabolism, Transcription Factors/chemistry, Cyclin-Dependent Kinase Inhibitor p21, Cyclic AMP Response Element-Binding Protein/metabolism, Cyclic AMP Response Element-Binding Protein, Tamoxifen, Apoptosis Regulatory Proteins, Adenoviridae/genetics, 
4995	aldosterone	27584	Compound	1.17686e-309	1.24476e-309	1	iter1	1	2	5	20	-3	Cell Membrane/metabolism, Transgenic, Cytoskeletal Proteins, Phenotype, nonzeroMeSH, Phosphatidylinositol 3-Kinases, Cell Membrane, Cell Differentiation/physiology, Myocarditis/ultrasonography, Signal Transduction/physiology, Hyperaldosteronism/metabolism, Protein Binding, Sialoglycoproteins, Sialoglycoproteins/genetics, Osteopontin, Hyperaldosteronism/chemically induced, Myocarditis, Aldosterone/blood, Cardiomegaly/ultrasonography, Hyperaldosteronism/complications, Cyclin-Dependent Kinase Inhibitor p21, Myocarditis/metabolism, Myocarditis/etiology, 
5346	thapsigargin	9516	Compound	1	1.2454e-309	1.3133e-309	iter1	-1	0	2	21	-2	Cyclic AMP Response Element-Binding Protein, nonzeroMeSH, Prostatic Neoplasms/metabolism, Binding Sites, Prostatic Neoplasms, Molecular Chaperones/metabolism, Cyclin-Dependent Kinase Inhibitor p21, 3T3 Cells, Molecular Chaperones, DNA-Binding Proteins/chemistry, DNA-Binding Proteins/biosynthesis, Transcription Factors/chemistry, Apoptosis Regulatory Proteins, Recombinant Fusion Proteins/genetics, Recombinant Fusion Proteins, Transcription Factors/biosynthesis, Recombinant Fusion Proteins/metabolism, 
